Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,Loc_Coimbatore,Loc_Hyderabad,Loc_Kochi,Loc_Mumbai,Loc_Otros,Loc_Pune,Fuel_Diesel,Fuel_Electric,Fuel_Petrol,Trans_Automatic,Trans_Manual,Own_First,Own_Fourth & Above,Own_Second,Own_Third,Brand_FORD,Brand_HONDA,Brand_HYUNDAI,Brand_MARUTI,Brand_MERCEDES-BENZ,Brand_Otros,Brand_TOYOTA,Brand_VOLKSWAGEN
2015.0,41000.0,19.67,1582.0,126.2,5.0,12.5,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False
2011.0,46000.0,13.0,1199.0,88.7,5.0,4.5,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
2012.0,87000.0,20.77,1248.0,88.76,7.0,6.0,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
2013.0,40670.0,15.2,1968.0,140.8,5.0,17.74,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
2013.0,86999.0,23.08,1461.0,63.1,5.0,3.5,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
2016.0,36000.0,11.36,2755.0,171.5,8.0,17.5,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
2013.0,64430.0,20.54,1598.0,103.6,5.0,5.2,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
2012.0,65932.0,22.3,1248.0,74.0,5.0,1.95,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
2018.0,25692.0,21.56,1462.0,103.25,5.0,9.95,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False
2012.0,60000.0,16.8,1497.0,116.3,5.0,4.49,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False
2015.0,64424.0,25.2,1248.0,74.0,5.0,5.6,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
2014.0,72000.0,12.7,2179.0,187.7,5.0,27.0,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
2012.0,85000.0,17.30400000000001,2179.0,115.0,5.0,17.5,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
2014.0,110000.0,13.5,2477.0,175.56,7.0,15.0,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
2016.0,58950.0,25.8,1498.0,98.6,5.0,5.4,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
2017.0,25000.0,28.4,1248.0,74.0,5.0,5.99,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
2014.0,77469.0,20.45,1461.0,83.8,5.0,6.34,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
2014.0,78500.0,14.84,2143.0,167.62,5.0,28.0,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
2014.0,32982.0,22.69,1995.0,190.0,5.0,18.55,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
2015.0,55392.0,23.65,1248.0,88.5,5.0,8.25,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
2015.0,55985.0,13.53,1984.0,177.01,5.0,23.5,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
2010.0,45807.0,18.5,1197.0,80.0,5.0,1.87,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False
2010.0,33000.0,14.4,1598.0,103.6,5.0,2.85,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
2012.0,51920.0,16.8,1497.0,116.3,5.0,4.25,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
2012.0,54000.0,16.48,1461.0,63.1,5.0,4.25,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
2013.0,54000.0,20.92,998.0,67.1,5.0,2.75,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False
2018.0,37430.0,17.5,1199.0,88.7,5.0,9.9,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
2007.0,262000.0,12.8,2494.0,102.0,7.0,4.0,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
2013.0,62000.0,19.01,1461.0,108.45,5.0,7.75,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
2012.0,87615.0,14.53,1798.0,138.1,5.0,6.75,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False
2013.0,72000.0,11.18,2696.0,184.0,7.0,12.5,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
2010.0,35000.0,12.4,2698.0,179.5,5.0,11.5,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
2014.0,55431.0,16.09,1598.0,103.5,5.0,6.98,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
2009.0,83816.0,14.0,1061.0,64.0,5.0,1.85,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False
2018.0,50075.0,24.3,1248.0,88.5,5.0,8.63,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
2017.0,52000.0,18.15,1198.0,82.0,5.0,4.85,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False
2013.0,85000.0,11.74,2987.0,254.8,5.0,28.0,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
2013.0,62000.0,22.07,1199.0,73.9,5.0,5.0,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
2008.0,90000.0,19.7,796.0,46.3,5.0,1.25,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False
2014.0,19698.0,25.4,624.0,37.5,4.0,1.53,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False
2017.0,22033.0,25.32,1198.0,77.0,6.0,5.58,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
